,STNAME,CTYNAME,Year,Population
4472,Minnesota,Dakota County,POPESTIMATE2015,414131
9153,Virginia,Loudoun County,POPESTIMATE2019,413538
233,California,Solano County,CENSUS2010POP,413344
6330,Alabama,Mobile County,POPESTIMATE2019,413210
48,Alabama,Mobile County,CENSUS2010POP,412992
2248,Pennsylvania,Berks County,CENSUS2010POP,411442
8606,South Carolina,Charleston County,POPESTIMATE2019,411406
4395,Michigan,Genesee County,POPESTIMATE2015,410461
4909,New Hampshire,Hillsborough County,POPESTIMATE2015,408985
2552,Texas,Cameron County,CENSUS2010POP,406220
5495,South Carolina,Richland County,POPESTIMATE2015,406008
7536,Michigan,Genesee County,POPESTIMATE2019,405813
3248,Arizona,Pinal County,POPESTIMATE2015,405614
3517,Florida,Sarasota County,POPESTIMATE2015,404761
9395,Wisconsin,Waukesha County,POPESTIMATE2019,404198
6640,Florida,Manatee County,POPESTIMATE2019,403253
7855,Missouri,St. Charles County,POPESTIMATE2019,402022
2891,Virginia,Prince William County,CENSUS2010POP,402002
1768,New Hampshire,Hillsborough County,CENSUS2010POP,400721
5350,Oregon,Clackamas County,POPESTIMATE2015,399647
1331,Minnesota,Dakota County,CENSUS2010POP,398552
6498,California,Placer County,POPESTIMATE2019,398329
6254,Wisconsin,Waukesha County,POPESTIMATE2015,396237
3311,Arkansas,Pulaski County,POPESTIMATE2015,393576
550,Idaho,Ada County,CENSUS2010POP,392365
6452,Arkansas,Pulaski County,POPESTIMATE2019,391911
7429,Louisiana,Orleans Parish,POPESTIMATE2019,390144
3113,Wisconsin,Waukesha County,CENSUS2010POP,389891
4288,Louisiana,Orleans Parish,POPESTIMATE2015,389742
5465,South Carolina,Charleston County,POPESTIMATE2015,389310
4714,Missouri,St. Charles County,POPESTIMATE2015,384978
8144,New York,Orange County,POPESTIMATE2019,384940
6611,Florida,Collier County,POPESTIMATE2019,384902
2354,South Carolina,Richland County,CENSUS2010POP,384504
8332,Ohio,Butler County,POPESTIMATE2019,383134
170,Arkansas,Pulaski County,CENSUS2010POP,382748
8204,North Carolina,Forsyth County,POPESTIMATE2019,382295
8508,Oregon,Lane County,POPESTIMATE2019,382067
376,Florida,Sarasota County,CENSUS2010POP,379448
6979,Indiana,Allen County,POPESTIMATE2019,379299
5191,Ohio,Butler County,POPESTIMATE2015,375998
2209,Oregon,Clackamas County,CENSUS2010POP,375992
5003,New York,Orange County,POPESTIMATE2015,375803
107,Arizona,Pinal County,CENSUS2010POP,375770
6649,Florida,Osceola County,POPESTIMATE2019,375751
2117,Ohio,Stark County,CENSUS2010POP,375586
5258,Ohio,Stark County,POPESTIMATE2015,374715
8823,Texas,Brazoria County,POPESTIMATE2019,374264
6012,Virginia,Loudoun County,POPESTIMATE2015,374014
6326,Alabama,Madison County,POPESTIMATE2019,372909
