,STNAME,CTYNAME,POPESTIMATE2019,BIRTHS2019
298,Colorado,Phillips County,4265,42
2067,North Dakota,Sioux County,4230,78
1839,New Mexico,Hidalgo County,4198,41
2429,South Dakota,Gregory County,4185,49
684,Illinois,Pope County,4177,25
1769,Nebraska,Valley County,4158,46
997,Kansas,Stafford County,4156,51
1746,Nebraska,Nuckolls County,4148,43
2875,Virginia,Bath County,4147,30
1789,Nevada,Storey County,4123,11
2418,South Dakota,Corson County,4086,91
1858,New Mexico,Union County,4059,38
1400,Minnesota,Red Lake County,4055,42
2047,North Dakota,LaMoure County,4046,52
964,Kansas,Meade County,4033,38
2012,North Carolina,Tyrrell County,4016,31
447,Georgia,Echols County,4006,26
3007,Washington,Columbia County,3985,38
2986,Virginia,Norton city,3981,39
2059,North Dakota,Pierce County,3975,41
945,Kansas,Haskell County,3968,49
1560,Missouri,Knox County,3959,52
1660,Montana,Phillips County,3954,42
2665,Texas,Hardeman County,3933,31
1696,Nebraska,Chase County,3924,45
2065,North Dakota,Sargent County,3898,45
262,Colorado,Costilla County,3887,37
2190,Oklahoma,Ellis County,3859,43
2758,Texas,Reagan County,3849,57
951,Kansas,Kearny County,3838,59
594,Idaho,Lewis County,3838,34
2076,North Dakota,Wells County,3834,45
2642,Texas,Fisher County,3830,36
2425,South Dakota,Edmunds County,3829,36
643,Illinois,Hardin County,3821,31
2672,Texas,Hemphill County,3819,43
2445,South Dakota,Lyman County,3781,65
2784,Texas,Sutton County,3776,40
2034,North Dakota,Cavalier County,3762,56
1376,Minnesota,Lake of the Woods County,3740,31
1673,Montana,Sweet Grass County,3737,34
2415,South Dakota,Clark County,3736,64
2197,Oklahoma,Harper County,3688,39
2702,Texas,Kinney County,3667,37
2704,Texas,Knox County,3664,41
2797,Texas,Upton County,3657,42
1734,Nebraska,Kimball County,3632,34
1573,Missouri,Mercer County,3617,48
806,Iowa,Adams County,3602,29
2232,Oklahoma,Roger Mills County,3583,39
996,Kansas,Smith County,3583,41
254,Colorado,Baca County,3581,37
1828,New Mexico,Catron County,3527,10
1744,Nebraska,Nance County,3519,37
2578,Texas,Baylor County,3509,32
1772,Nebraska,Webster County,3487,39
2619,Texas,Crockett County,3464,31
2433,South Dakota,Hanson County,3453,37
2759,Texas,Real County,3452,32
975,Kansas,Osborne County,3421,41
2607,Texas,Coke County,3387,35
1723,Nebraska,Harlan County,3380,31
1644,Montana,Granite County,3379,16
2406,South Dakota,Bennett County,3365,56
2438,South Dakota,Jackson County,3344,83
69,Alaska,Aleutians East Borough,3337,10
1670,Montana,Sheridan County,3309,41
2631,Texas,Donley County,3278,33
89,Alaska,Petersburg Borough,3266,30
2775,Texas,Shackelford County,3265,29
1415,Minnesota,Traverse County,3259,37
914,Kansas,Chautauqua County,3250,28
2039,North Dakota,Emmons County,3241,32
2714,Texas,Lipscomb County,3233,38
2040,North Dakota,Foster County,3210,38
2432,South Dakota,Hand County,3191,37
1008,Kansas,Woodson County,3138,35
2461,South Dakota,Stanley County,3098,37
401,Georgia,Baker County,3038,30
987,Kansas,Rush County,3036,28
2030,North Dakota,Bowman County,3024,35
2777,Texas,Sherman County,3022,39
236,California,Sierra County,3005,25
1763,Nebraska,Sherman County,3001,37
1712,Nebraska,Franklin County,2979,35
459,Georgia,Glascock County,2971,29
2662,Texas,Hall County,2964,24
957,Kansas,Lincoln County,2962,21
1690,Nebraska,Brown County,2955,27
2424,South Dakota,Douglas County,2921,41
2610,Texas,Collingsworth County,2920,29
1749,Nebraska,Perkins County,2891,33
2056,North Dakota,Nelson County,2879,23
949,Kansas,Jewell County,2879,31
2456,South Dakota,Perkins County,2865,34
2606,Texas,Cochran County,2853,41
1637,Montana,Fallon County,2846,37
427,Georgia,Clay County,2834,22
924,Kansas,Decatur County,2827,31
1002,Kansas,Trego County,2803,19
928,Kansas,Edwards County,2798,25
959,Kansas,Logan County,2794,41
2773,Texas,Schleicher County,2793,21
1725,Nebraska,Hitchcock County,2762,20
2469,South Dakota,Ziebach County,2756,23
2404,South Dakota,Aurora County,2751,39
972,Kansas,Ness County,2750,14
2614,Texas,Concho County,2726,24
2849,Utah,Wayne County,2711,30
916,Kansas,Cheyenne County,2657,28
2196,Oklahoma,Harmon County,2653,33
913,Kansas,Chase County,2648,18
936,Kansas,Gove County,2636,27
1713,Nebraska,Frontier County,2627,24
1748,Nebraska,Pawnee County,2613,33
549,Georgia,Webster County,2607,23
575,Idaho,Butte County,2597,30
969,Kansas,Morton County,2587,35
942,Kansas,Hamilton County,2539,29
929,Kansas,Elk County,2530,23
981,Kansas,Rawlins County,2530,33
77,Alaska,Haines Borough,2530,20
994,Kansas,Sheridan County,2521,31
95,Alaska,Wrangell City and Borough,2502,21
2045,North Dakota,Hettinger County,2499,36
2050,North Dakota,McIntosh County,2497,26
2838,Utah,Rich County,2483,31
937,Kansas,Graham County,2482,19
2046,North Dakota,Kidder County,2480,26
953,Kansas,Kiowa County,2475,29
2447,South Dakota,McPherson County,2379,19
1720,Nebraska,Greeley County,2356,29
3183,Wyoming,Niobrara County,2356,28
2459,South Dakota,Sanborn County,2344,33
1650,Montana,Liberty County,2337,16
2062,North Dakota,Renville County,2327,17
515,Georgia,Quitman County,2299,16
2427,South Dakota,Faulk County,2299,35
2038,North Dakota,Eddy County,2287,33
2043,North Dakota,Grant County,2274,26
2688,Texas,Jeff Davis County,2274,15
2036,North Dakota,Divide County,2264,23
308,Colorado,Sedgwick County,2248,13
2044,North Dakota,Griggs County,2231,22
3012,Washington,Garfield County,2225,27
2025,North Dakota,Adams County,2216,20
2451,South Dakota,Miner County,2216,27
2629,Texas,Dickens County,2211,16
2911,Virginia,Highland County,2190,17
2072,North Dakota,Towner County,2189,20
2621,Texas,Culberson County,2171,26
2457,South Dakota,Potter County,2153,21
78,Alaska,Hoonah-Angoon Census Area,2148,20
2730,Texas,Menard County,2138,16
2180,Oklahoma,Cimarron County,2137,22
1678,Montana,Wheatland County,2126,26
1006,Kansas,Wichita County,2119,28
1295,Michigan,Keweenaw County,2116,10
2031,North Dakota,Burke County,2115,26
2746,Texas,Oldham County,2112,24
1111,Kentucky,Robertson County,2108,22
74,Alaska,Denali Borough,2097,14
2450,South Dakota,Mellette County,2061,36
267,Colorado,Dolores County,2055,11
1781,Nevada,Eureka County,2029,12
2439,South Dakota,Jerauld County,2013,20
1621,Missouri,Worth County,2013,23
1647,Montana,Judith Basin County,2007,12
998,Kansas,Stanton County,2006,29
917,Kansas,Clark County,1994,23
1718,Nebraska,Gosper County,1990,20
1717,Nebraska,Garfield County,1969,18
2411,South Dakota,Buffalo County,1962,35
2057,North Dakota,Oliver County,1959,22
2635,Texas,Edwards County,1932,18
1689,Nebraska,Boyd County,1919,14
2256,Oregon,Gilliam County,1912,16
2430,South Dakota,Haakon County,1899,20
2070,North Dakota,Steele County,1890,20
2572,Texas,Armstrong County,1887,19
1654,Montana,Meagher County,1862,12
2048,North Dakota,Logan County,1850,21
1716,Nebraska,Garden County,1837,19
259,Colorado,Cheyenne County,1831,17
946,Kansas,Hodgeman County,1794,17
1706,Nebraska,Deuel County,1794,13
2273,Oregon,Sherman County,1780,15
2041,North Dakota,Golden Valley County,1761,20
1833,New Mexico,De Baca County,1748,13
921,Kansas,Comanche County,1700,20
1710,Nebraska,Dundy County,1693,16
1634,Montana,Daniels County,1690,17
1662,Montana,Powder River County,1682,21
1652,Montana,McCone County,1664,16
84,Alaska,Lake and Peninsula Borough,1592,31
2589,Texas,Briscoe County,1546,12
528,Georgia,Taliaferro County,1537,13
2684,Texas,Irion County,1536,15
955,Kansas,Lane County,1535,13
1004,Kansas,Wallace County,1518,17
2790,Texas,Throckmorton County,1501,10
2837,Utah,Piute County,1479,15
2653,Texas,Glasscock County,1409,16
281,Colorado,Kiowa County,1406,18
2617,Texas,Cottle County,1398,13
279,Colorado,Jackson County,1392,16
2462,South Dakota,Sully County,1391,16
2413,South Dakota,Campbell County,1376,12
1756,Nebraska,Rock County,1357,13
2783,Texas,Stonewall County,1350,10
2280,Oregon,Wheeler County,1332,10
1453,Mississippi,Issaquena County,1327,10
2066,North Dakota,Sheridan County,1315,12
2437,South Dakota,Hyde County,1301,18
2434,South Dakota,Harding County,1298,16
2782,Texas,Sterling County,1291,12
1641,Montana,Garfield County,1258,14
1630,Montana,Carter County,1252,19
940,Kansas,Greeley County,1232,22
2739,Texas,Motley County,1200,12
92,Alaska,Skagway Municipality,1183,8
1764,Nebraska,Sioux County,1166,12
2644,Texas,Foard County,1155,6
192,California,Alpine County,1129,10
576,Idaho,Camas County,1106,10
1664,Montana,Prairie County,1077,12
1679,Montana,Wibaux County,969,10
2826,Utah,Daggett County,950,6
2028,North Dakota,Billings County,928,10
1724,Nebraska,Hayes County,922,20
2440,South Dakota,Jones County,903,12
1780,Nevada,Esmeralda County,873,6
2763,Texas,Roberts County,854,8
580,Idaho,Clark County,845,8
73,Alaska,Bristol Bay Borough,836,8
1643,Montana,Golden Valley County,821,12
277,Colorado,Hinsdale County,820,2
1733,Nebraska,Keya Paha County,806,6
1773,Nebraska,Wheeler County,783,7
2788,Texas,Terrell County,776,6
290,Colorado,Mineral County,769,8
2698,Texas,Kent County,762,4
2068,North Dakota,Slope County,750,8
1738,Nebraska,Logan County,748,6
1685,Nebraska,Banner County,745,9
2722,Texas,McMullen County,743,6
306,Colorado,San Juan County,728,4
1767,Nebraska,Thomas County,722,6
1676,Montana,Treasure County,696,8
1727,Nebraska,Hooker County,682,6
1739,Nebraska,Loup County,664,8
2583,Texas,Borden County,654,5
1838,New Mexico,Harding County,625,2
1719,Nebraska,Grant County,623,10
96,Alaska,Yakutat City and Borough,579,4
1740,Nebraska,McPherson County,494,3
1659,Montana,Petroleum County,487,2
1686,Nebraska,Blaine County,465,6
1684,Nebraska,Arthur County,463,3
2697,Texas,Kenedy County,404,6
2701,Texas,King County,272,4
2717,Texas,Loving County,169,1
560,Hawaii,Kalawao County,86,0
