,STNAME,Year,Population
365,Alaska,POPESTIMATE2017,739700
261,Alaska,POPESTIMATE2015,737498
243,North Dakota,POPESTIMATE2014,737401
157,Alaska,POPESTIMATE2013,737068
209,Alaska,POPESTIMATE2014,736283
417,Alaska,POPESTIMATE2018,735139
469,Alaska,POPESTIMATE2019,731545
105,Alaska,POPESTIMATE2012,730443
53,Alaska,POPESTIMATE2011,722128
191,North Dakota,POPESTIMATE2013,722036
1,Alaska,POPESTIMATE2010,713910
477,District of Columbia,POPESTIMATE2019,705749
476,District of Columbia,POPESTIMATE2019,705749
424,District of Columbia,POPESTIMATE2018,701547
425,District of Columbia,POPESTIMATE2018,701547
139,North Dakota,POPESTIMATE2012,701176
373,District of Columbia,POPESTIMATE2017,694906
372,District of Columbia,POPESTIMATE2017,694906
321,District of Columbia,POPESTIMATE2016,685815
320,District of Columbia,POPESTIMATE2016,685815
87,North Dakota,POPESTIMATE2011,685225
268,District of Columbia,POPESTIMATE2015,675400
269,District of Columbia,POPESTIMATE2015,675400
35,North Dakota,POPESTIMATE2010,674715
216,District of Columbia,POPESTIMATE2014,662328
217,District of Columbia,POPESTIMATE2014,662328
164,District of Columbia,POPESTIMATE2013,650581
165,District of Columbia,POPESTIMATE2013,650581
112,District of Columbia,POPESTIMATE2012,634924
113,District of Columbia,POPESTIMATE2012,634924
98,Vermont,POPESTIMATE2011,627049
202,Vermont,POPESTIMATE2013,626210
150,Vermont,POPESTIMATE2012,626090
46,Vermont,POPESTIMATE2010,625879
306,Vermont,POPESTIMATE2015,625216
254,Vermont,POPESTIMATE2014,625214
462,Vermont,POPESTIMATE2018,624358
410,Vermont,POPESTIMATE2017,624344
514,Vermont,POPESTIMATE2019,623989
358,Vermont,POPESTIMATE2016,623657
61,District of Columbia,POPESTIMATE2011,619800
60,District of Columbia,POPESTIMATE2011,619800
9,District of Columbia,POPESTIMATE2010,605226
8,District of Columbia,POPESTIMATE2010,605226
311,Wyoming,POPESTIMATE2015,585613
363,Wyoming,POPESTIMATE2016,584215
259,Wyoming,POPESTIMATE2014,582531
207,Wyoming,POPESTIMATE2013,582122
415,Wyoming,POPESTIMATE2017,578931
519,Wyoming,POPESTIMATE2019,578759
467,Wyoming,POPESTIMATE2018,577601
155,Wyoming,POPESTIMATE2012,576305
103,Wyoming,POPESTIMATE2011,567299
51,Wyoming,POPESTIMATE2010,564487
